"total","date"
6603399,2000-01-01 07:00:00.000 +0700
5226596,2001-01-01 07:00:00.000 +0700
6341479,2002-01-01 07:00:00.000 +0700
16329294,2003-01-01 07:00:00.000 +0700
17307804,2004-01-01 07:00:00.000 +0700
8734526,2005-01-01 07:00:00.000 +0700
9116925,2006-01-01 07:00:00.000 +0700
9161736,2007-01-01 07:00:00.000 +0700
9696924,2008-01-01 07:00:00.000 +0700
10339089,2009-01-01 07:00:00.000 +0700
10449315,2010-01-01 07:00:00.000 +0700
10527847,2011-01-01 07:00:00.000 +0700
10937622,2012-01-01 07:00:00.000 +0700
11238898,2013-01-01 07:00:00.000 +0700
49290919,2014-01-01 07:00:00.000 +0700
45080777,2015-01-01 07:00:00.000 +0700
52953928,2016-01-01 07:00:00.000 +0700
16146834,2017-01-01 07:00:00.000 +0700
44090074,2018-01-01 07:00:00.000 +0700
46548488,2019-01-01 07:00:00.000 +0700
17370069,2020-01-01 07:00:00.000 +0700
14803789,2021-01-01 07:00:00.000 +0700
