"nama","total","date"
Bawang Daun,311339,2000-01-01 07:00:00.000 +0700
Bawang Daun,283285,2001-01-01 07:00:00.000 +0700
Bawang Daun,315120,2002-01-01 07:00:00.000 +0700
Bawang Daun,691440,2003-01-01 07:00:00.000 +0700
Bawang Daun,949852,2004-01-01 07:00:00.000 +0700
Bawang Daun,501426,2005-01-01 07:00:00.000 +0700
Bawang Daun,571277,2006-01-01 07:00:00.000 +0700
Bawang Daun,478951,2007-01-01 07:00:00.000 +0700
Bawang Daun,547759,2008-01-01 07:00:00.000 +0700
Bawang Daun,549382,2009-01-01 07:00:00.000 +0700
Bawang Daun,541374,2010-01-01 07:00:00.000 +0700
Bawang Daun,526774,2011-01-01 07:00:00.000 +0700
Bawang Daun,596824,2012-01-01 07:00:00.000 +0700
Bawang Daun,579974,2013-01-01 07:00:00.000 +0700
Bawang Daun,584631,2014-01-01 07:00:00.000 +0700
Bawang Daun,512497,2015-01-01 07:00:00.000 +0700
Bawang Daun,537931,2016-01-01 07:00:00.000 +0700
Bawang Daun,510478,2017-01-01 07:00:00.000 +0700
Bawang Daun,573228,2018-01-01 07:00:00.000 +0700
Bawang Daun,590596,2019-01-01 07:00:00.000 +0700
Bawang Daun,579748,2020-01-01 07:00:00.000 +0700
Bawang Daun,627853,2021-01-01 07:00:00.000 +0700
