"nama","total","date"
Bawang Merah,772819,2000-01-01 07:00:00.000 +0700
Bawang Merah,861150,2001-01-01 07:00:00.000 +0700
Bawang Merah,766568,2002-01-01 07:00:00.000 +0700
Bawang Merah,1525590,2003-01-01 07:00:00.000 +0700
Bawang Merah,1511952,2004-01-01 07:00:00.000 +0700
Bawang Merah,732600,2005-01-01 07:00:00.000 +0700
Bawang Merah,794939,2006-01-01 07:00:00.000 +0700
Bawang Merah,801610,2007-01-01 07:00:00.000 +0700
Bawang Merah,853622,2008-01-01 07:00:00.000 +0700
Bawang Merah,965167,2009-01-01 07:00:00.000 +0700
Bawang Merah,1048934,2010-01-01 07:00:00.000 +0700
Bawang Merah,893124,2011-01-01 07:00:00.000 +0700
Bawang Merah,964221,2012-01-01 07:00:00.000 +0700
Bawang Merah,1010773,2013-01-01 07:00:00.000 +0700
Bawang Merah,1233989,2014-01-01 07:00:00.000 +0700
Bawang Merah,1229189,2015-01-01 07:00:00.000 +0700
Bawang Merah,1446869,2016-01-01 07:00:00.000 +0700
Bawang Merah,1470156,2017-01-01 07:00:00.000 +0700
Bawang Merah,1503438,2018-01-01 07:00:00.000 +0700
Bawang Merah,1580247,2019-01-01 07:00:00.000 +0700
Bawang Merah,1815444,2020-01-01 07:00:00.000 +0700
Bawang Merah,2004593,2021-01-01 07:00:00.000 +0700
