"nama","total","date"
Bawang Putih,59018,2000-01-01 07:00:00.000 +0700
Bawang Putih,49573,2001-01-01 07:00:00.000 +0700
Bawang Putih,46392,2002-01-01 07:00:00.000 +0700
Bawang Putih,77914,2003-01-01 07:00:00.000 +0700
Bawang Putih,57680,2004-01-01 07:00:00.000 +0700
Bawang Putih,20729,2005-01-01 07:00:00.000 +0700
Bawang Putih,21060,2006-01-01 07:00:00.000 +0700
Bawang Putih,17049,2007-01-01 07:00:00.000 +0700
Bawang Putih,12351,2008-01-01 07:00:00.000 +0700
Bawang Putih,15436,2009-01-01 07:00:00.000 +0700
Bawang Putih,12295,2010-01-01 07:00:00.000 +0700
Bawang Putih,14749,2011-01-01 07:00:00.000 +0700
Bawang Putih,17638,2012-01-01 07:00:00.000 +0700
Bawang Putih,15766,2013-01-01 07:00:00.000 +0700
Bawang Putih,16894,2014-01-01 07:00:00.000 +0700
Bawang Putih,20293,2015-01-01 07:00:00.000 +0700
Bawang Putih,21150,2016-01-01 07:00:00.000 +0700
Bawang Putih,19510,2017-01-01 07:00:00.000 +0700
Bawang Putih,39302,2018-01-01 07:00:00.000 +0700
Bawang Putih,88816,2019-01-01 07:00:00.000 +0700
Bawang Putih,81807,2020-01-01 07:00:00.000 +0700
Bawang Putih,45093,2021-01-01 07:00:00.000 +0700
