"nama","total","date"
Kacang Panjang,313550,2000-01-01 07:00:00.000 +0700
Kacang Panjang,183200,2001-01-01 07:00:00.000 +0700
Kacang Panjang,310282,2002-01-01 07:00:00.000 +0700
Kacang Panjang,864730,2003-01-01 07:00:00.000 +0700
Kacang Panjang,897672,2004-01-01 07:00:00.000 +0700
Kacang Panjang,466375,2005-01-01 07:00:00.000 +0700
Kacang Panjang,461267,2006-01-01 07:00:00.000 +0700
Kacang Panjang,481496,2007-01-01 07:00:00.000 +0700
Kacang Panjang,455570,2008-01-01 07:00:00.000 +0700
Kacang Panjang,483933,2009-01-01 07:00:00.000 +0700
Kacang Panjang,489449,2010-01-01 07:00:00.000 +0700
Kacang Panjang,458307,2011-01-01 07:00:00.000 +0700
Kacang Panjang,455615,2012-01-01 07:00:00.000 +0700
Kacang Panjang,450859,2013-01-01 07:00:00.000 +0700
Kacang Panjang,450727,2014-01-01 07:00:00.000 +0700
Kacang Panjang,395524,2015-01-01 07:00:00.000 +0700
Kacang Panjang,388071,2016-01-01 07:00:00.000 +0700
Kacang Panjang,381188,2017-01-01 07:00:00.000 +0700
Kacang Panjang,370202,2018-01-01 07:00:00.000 +0700
Kacang Panjang,352700,2019-01-01 07:00:00.000 +0700
Kacang Panjang,359160,2020-01-01 07:00:00.000 +0700
Kacang Panjang,383687,2021-01-01 07:00:00.000 +0700
