"nama","total","date"
Kacang Panjang,3485,2000-01-01 07:00:00.000 +0700
Kacang Panjang,1505,2001-01-01 07:00:00.000 +0700
Kacang Panjang,4141,2002-01-01 07:00:00.000 +0700
Kacang Panjang,4540,2003-01-01 07:00:00.000 +0700
Kacang Panjang,13462,2004-01-01 07:00:00.000 +0700
Kacang Panjang,7805,2005-01-01 07:00:00.000 +0700
Kacang Panjang,11168,2006-01-01 07:00:00.000 +0700
Kacang Panjang,15422,2007-01-01 07:00:00.000 +0700
Kacang Panjang,11804,2008-01-01 07:00:00.000 +0700
Kacang Panjang,14216,2009-01-01 07:00:00.000 +0700
Kacang Panjang,14532,2010-01-01 07:00:00.000 +0700
Kacang Panjang,16040,2011-01-01 07:00:00.000 +0700
Kacang Panjang,16230,2012-01-01 07:00:00.000 +0700
Kacang Panjang,17175,2013-01-01 07:00:00.000 +0700
Kacang Panjang,20087,2014-01-01 07:00:00.000 +0700
Kacang Panjang,13499,2015-01-01 07:00:00.000 +0700
Kacang Panjang,16566,2016-01-01 07:00:00.000 +0700
Kacang Panjang,15653,2017-01-01 07:00:00.000 +0700
Kacang Panjang,16950,2018-01-01 07:00:00.000 +0700
Kacang Panjang,13760,2019-01-01 07:00:00.000 +0700
Kacang Panjang,13988,2020-01-01 07:00:00.000 +0700
Kacang Panjang,13117,2021-01-01 07:00:00.000 +0700
