"nama","total","date"
Kacang Panjang,3485,2000-01-01 07:00:00.000 +0700
Kacang Panjang,1505,2001-01-01 07:00:00.000 +0700
Kacang Panjang,4141,2002-01-01 07:00:00.000 +0700
Kacang Panjang,4540,2003-01-01 07:00:00.000 +0700
Kacang Panjang,13462,2004-01-01 07:00:00.000 +0700
Kacang Panjang,7805,2005-01-01 07:00:00.000 +0700
Kacang Panjang,9657,2006-01-01 07:00:00.000 +0700
Kacang Panjang,10451,2007-01-01 07:00:00.000 +0700
Kacang Panjang,7953,2008-01-01 07:00:00.000 +0700
Kacang Panjang,9974,2009-01-01 07:00:00.000 +0700
Kacang Panjang,11056,2010-01-01 07:00:00.000 +0700
Kacang Panjang,12830,2011-01-01 07:00:00.000 +0700
Kacang Panjang,11572,2012-01-01 07:00:00.000 +0700
Kacang Panjang,12447,2013-01-01 07:00:00.000 +0700
Kacang Panjang,12789,2014-01-01 07:00:00.000 +0700
Kacang Panjang,8795,2015-01-01 07:00:00.000 +0700
Kacang Panjang,12531,2016-01-01 07:00:00.000 +0700
Kacang Panjang,11192,2017-01-01 07:00:00.000 +0700
Kacang Panjang,12083,2018-01-01 07:00:00.000 +0700
Kacang Panjang,9210,2019-01-01 07:00:00.000 +0700
Kacang Panjang,10045,2020-01-01 07:00:00.000 +0700
Kacang Panjang,9163,2021-01-01 07:00:00.000 +0700
