"nama","total","date"
Kacang Merah,100936,2000-01-01 07:00:00.000 +0700
Kacang Merah,98721,2001-01-01 07:00:00.000 +0700
Kacang Merah,94637,2002-01-01 07:00:00.000 +0700
Kacang Merah,180562,2003-01-01 07:00:00.000 +0700
Kacang Merah,214416,2004-01-01 07:00:00.000 +0700
Kacang Merah,132209,2005-01-01 07:00:00.000 +0700
Kacang Merah,125266,2006-01-01 07:00:00.000 +0700
Kacang Merah,112245,2007-01-01 07:00:00.000 +0700
Kacang Merah,115827,2008-01-01 07:00:00.000 +0700
Kacang Merah,110060,2009-01-01 07:00:00.000 +0700
Kacang Merah,116397,2010-01-01 07:00:00.000 +0700
Kacang Merah,92508,2011-01-01 07:00:00.000 +0700
Kacang Merah,93416,2012-01-01 07:00:00.000 +0700
Kacang Merah,103376,2013-01-01 07:00:00.000 +0700
Kacang Merah,100319,2014-01-01 07:00:00.000 +0700
Kacang Merah,42388,2015-01-01 07:00:00.000 +0700
Kacang Merah,37171,2016-01-01 07:00:00.000 +0700
Kacang Merah,74364,2017-01-01 07:00:00.000 +0700
Kacang Merah,67868,2018-01-01 07:00:00.000 +0700
Kacang Merah,61520,2019-01-01 07:00:00.000 +0700
Kacang Merah,66211,2020-01-01 07:00:00.000 +0700
Kacang Merah,0,2021-01-01 07:00:00.000 +0700
