"nama","total","date"
Ketimun,423269,2000-01-01 07:00:00.000 +0700
Ketimun,245698,2001-01-01 07:00:00.000 +0700
Ketimun,406129,2002-01-01 07:00:00.000 +0700
Ketimun,1028420,2003-01-01 07:00:00.000 +0700
Ketimun,948022,2004-01-01 07:00:00.000 +0700
Ketimun,552881,2005-01-01 07:00:00.000 +0700
Ketimun,598924,2006-01-01 07:00:00.000 +0700
Ketimun,577069,2007-01-01 07:00:00.000 +0700
Ketimun,540162,2008-01-01 07:00:00.000 +0700
Ketimun,581920,2009-01-01 07:00:00.000 +0700
Ketimun,547141,2010-01-01 07:00:00.000 +0700
Ketimun,521535,2011-01-01 07:00:00.000 +0700
Ketimun,511525,2012-01-01 07:00:00.000 +0700
Ketimun,491636,2013-01-01 07:00:00.000 +0700
Ketimun,477989,2014-01-01 07:00:00.000 +0700
Ketimun,447696,2015-01-01 07:00:00.000 +0700
Ketimun,430218,2016-01-01 07:00:00.000 +0700
Ketimun,424916,2017-01-01 07:00:00.000 +0700
Ketimun,433931,2018-01-01 07:00:00.000 +0700
Ketimun,435975,2019-01-01 07:00:00.000 +0700
Ketimun,441285,2020-01-01 07:00:00.000 +0700
Ketimun,471940,2021-01-01 07:00:00.000 +0700
