,year,mean_temp
0,1901,25.4
1,1902,25.37
2,1903,25.37
3,1904,25.36
4,1905,25.41
5,1906,25.41
6,1907,25.33
7,1908,25.4
8,1909,25.39
9,1910,25.37
10,1911,25.54
11,1912,25.6
12,1913,25.56
13,1914,25.65
14,1915,25.62
15,1916,25.46
16,1917,25.44
17,1918,25.34
18,1919,25.56
19,1920,25.56
20,1921,25.45
21,1922,25.45
22,1923,25.45
23,1924,25.51
24,1925,25.46
25,1926,25.61
26,1927,25.54
27,1928,25.55
28,1929,25.42
29,1930,25.56
30,1931,25.66
31,1932,25.47
32,1933,25.49
33,1934,25.41
34,1935,25.53
35,1936,25.55
36,1937,25.54
37,1938,25.54
38,1939,25.51
39,1940,25.55
40,1941,25.82
41,1942,25.55
42,1943,25.38
43,1944,25.43
44,1945,25.44
45,1946,25.56
46,1947,25.57
47,1948,25.62
48,1949,25.52
49,1950,25.5
50,1951,25.52
51,1952,25.49
52,1953,25.55
53,1954,25.42
54,1955,25.38
55,1956,25.28
56,1957,25.53
57,1958,25.69
58,1959,25.49
59,1960,25.52
60,1961,25.39
61,1962,25.36
62,1963,25.43
63,1964,25.43
64,1965,25.34
65,1966,25.53
66,1967,25.35
67,1968,25.41
68,1969,25.64
69,1970,25.58
70,1971,25.35
71,1972,25.6
72,1973,25.76
73,1974,25.41
74,1975,25.44
75,1976,25.26
76,1977,25.4
77,1978,25.49
78,1979,25.6
79,1980,25.6
80,1981,25.68
81,1982,25.61
82,1983,25.81
83,1984,25.32
84,1985,25.56
85,1986,25.65
86,1987,25.88
87,1988,25.77
88,1989,25.62
89,1990,25.85
90,1991,25.79
91,1992,25.79
92,1993,25.75
93,1994,25.78
94,1995,25.82
95,1996,25.82
96,1997,25.93
97,1998,26.18
98,1999,25.77
99,2000,25.85
100,2001,25.91
101,2002,26.04
102,2003,25.9
103,2004,25.92
104,2005,25.93
105,2006,25.82
106,2007,25.84
107,2008,25.71
108,2009,25.98
109,2010,26.08
110,2011,25.88
111,2012,25.99
112,2013,26.05
113,2014,26.04
114,2015,26.12
115,2016,26.23
116,2017,26.03
117,2018,26.04
118,2019,26.2
119,2020,26.18
120,2021,25.99
