"nama","total","date"
Petsai/Sawi,0,2000-01-01 07:00:00.000 +0700
Petsai/Sawi,3552,2001-01-01 07:00:00.000 +0700
Petsai/Sawi,2761,2002-01-01 07:00:00.000 +0700
Petsai/Sawi,1206,2003-01-01 07:00:00.000 +0700
Petsai/Sawi,3068,2004-01-01 07:00:00.000 +0700
Petsai/Sawi,966,2005-01-01 07:00:00.000 +0700
Petsai/Sawi,1151,2006-01-01 07:00:00.000 +0700
Petsai/Sawi,1449,2007-01-01 07:00:00.000 +0700
Petsai/Sawi,1979,2008-01-01 07:00:00.000 +0700
Petsai/Sawi,2338,2009-01-01 07:00:00.000 +0700
Petsai/Sawi,2964,2010-01-01 07:00:00.000 +0700
Petsai/Sawi,2424,2011-01-01 07:00:00.000 +0700
Petsai/Sawi,3267,2012-01-01 07:00:00.000 +0700
Petsai/Sawi,3484,2013-01-01 07:00:00.000 +0700
Petsai/Sawi,3189,2014-01-01 07:00:00.000 +0700
Petsai/Sawi,1539,2015-01-01 07:00:00.000 +0700
Petsai/Sawi,2547,2016-01-01 07:00:00.000 +0700
Petsai/Sawi,2616,2017-01-01 07:00:00.000 +0700
Petsai/Sawi,1968,2018-01-01 07:00:00.000 +0700
Petsai/Sawi,1339,2019-01-01 07:00:00.000 +0700
Petsai/Sawi,1423,2020-01-01 07:00:00.000 +0700
Petsai/Sawi,1673,2021-01-01 07:00:00.000 +0700
