"nama","total","date"
Petsai/Sawi,0,2000-01-01 07:00:00.000 +0700
Petsai/Sawi,3552,2001-01-01 07:00:00.000 +0700
Petsai/Sawi,2761,2002-01-01 07:00:00.000 +0700
Petsai/Sawi,1206,2003-01-01 07:00:00.000 +0700
Petsai/Sawi,3068,2004-01-01 07:00:00.000 +0700
Petsai/Sawi,966,2005-01-01 07:00:00.000 +0700
Petsai/Sawi,3625,2006-01-01 07:00:00.000 +0700
Petsai/Sawi,6881,2007-01-01 07:00:00.000 +0700
Petsai/Sawi,5210,2008-01-01 07:00:00.000 +0700
Petsai/Sawi,6624,2009-01-01 07:00:00.000 +0700
Petsai/Sawi,5885,2010-01-01 07:00:00.000 +0700
Petsai/Sawi,5367,2011-01-01 07:00:00.000 +0700
Petsai/Sawi,7056,2012-01-01 07:00:00.000 +0700
Petsai/Sawi,7759,2013-01-01 07:00:00.000 +0700
Petsai/Sawi,7654,2014-01-01 07:00:00.000 +0700
Petsai/Sawi,6298,2015-01-01 07:00:00.000 +0700
Petsai/Sawi,6625,2016-01-01 07:00:00.000 +0700
Petsai/Sawi,6087,2017-01-01 07:00:00.000 +0700
Petsai/Sawi,5078,2018-01-01 07:00:00.000 +0700
Petsai/Sawi,5182,2019-01-01 07:00:00.000 +0700
Petsai/Sawi,4216,2020-01-01 07:00:00.000 +0700
Petsai/Sawi,3168,2021-01-01 07:00:00.000 +0700
