"nama","total","date"
Terung,6248,2000-01-01 07:00:00.000 +0700
Terung,2501,2001-01-01 07:00:00.000 +0700
Terung,4764,2002-01-01 07:00:00.000 +0700
Terung,4864,2003-01-01 07:00:00.000 +0700
Terung,7356,2004-01-01 07:00:00.000 +0700
Terung,2648,2005-01-01 07:00:00.000 +0700
Terung,9960,2006-01-01 07:00:00.000 +0700
Terung,16113,2007-01-01 07:00:00.000 +0700
Terung,9472,2008-01-01 07:00:00.000 +0700
Terung,10651,2009-01-01 07:00:00.000 +0700
Terung,14170,2010-01-01 07:00:00.000 +0700
Terung,14424,2011-01-01 07:00:00.000 +0700
Terung,13864,2012-01-01 07:00:00.000 +0700
Terung,17257,2013-01-01 07:00:00.000 +0700
Terung,14884,2014-01-01 07:00:00.000 +0700
Terung,12101,2015-01-01 07:00:00.000 +0700
Terung,14224,2016-01-01 07:00:00.000 +0700
Terung,15512,2017-01-01 07:00:00.000 +0700
Terung,14155,2018-01-01 07:00:00.000 +0700
Terung,10225,2019-01-01 07:00:00.000 +0700
Terung,10225,2020-01-01 07:00:00.000 +0700
Terung,10168,2021-01-01 07:00:00.000 +0700
