"provinsi","total"
KALIMANTAN UTARA,254108
SULAWESI BARAT,256593
MALUKU UTARA,340443
PAPUA BARAT,388700
GORONTALO,398372
MALUKU,432479
KEP. RIAU,476924
DKI JAKARTA,477314
KEP. BANGKA BELITUNG,568412
SULAWESI TENGGARA,943680
PAPUA,946713
KALIMANTAN TENGAH,983010
KALIMANTAN BARAT,1430396
SULAWESI TENGAH,1643454
NUSA TENGGARA TIMUR,1678707
KALIMANTAN SELATAN,1994257
KALIMANTAN TIMUR,2554673
RIAU,2826127
BANTEN,3727435
SUMATERA SELATAN,3776149
ACEH,4734277
JAMBI,5093387
BALI,5606617
LAMPUNG,5742841
NUSA TENGGARA BARAT,6123119
SULAWESI UTARA,6381634
DI YOGYAKARTA,6689837
BENGKULU,7849045
SULAWESI SELATAN,8292882
SUMATERA BARAT,11509608
SUMATERA UTARA,24482076
JAWA TENGAH,62894227
JAWA TIMUR,77534788
JAWA BARAT,169264048
